Epipremnum aureum,21-27,¢J,18-21,¢J
Episcia spp.,21-27,¢J,18-21,¢J
Euphorbia milli,21-27,¢J,18-21,¢J
Ficus spp.,21-27,¢J,18-21,¢J
Gynura aurantiaca,21-27,¢J,18-21,¢J
Impatiens spp.,21-27,¢J,18-21,¢J
croton,21-27,¢J,18-21,¢J
"Cordyline, ti plant",21-27,¢J,18-21,¢J
dwarf bromeliad,21-27,¢J,18-21,¢J
false aralia,21-27,¢J,18-21,¢J
dracaena,21-27,¢J,18-21,¢J
hen and chicks,21-27,¢J,18-21,¢J
pothos,21-27,¢J,18-21,¢J
flame violet,21-27,¢J,18-21,¢J
crown-of-thorns,21-27,¢J,18-21,¢J
ficus,21-27,¢J,18-21,¢J
velvet plant,21-27,¢J,18-21,¢J
impatiens,21-27,¢J,18-21,¢J
Maranta leuconeura,21-27,¢J,18-21,¢J
Mimosa pudica,21-27,¢J,18-21,¢J
Monstera spp.,21-27,¢J,18-21,¢J
Pandanus veitchii,21-27,¢J,18-21,¢J
Pelargonium spp.,21-27,¢J,18-21,¢J
Philodendron spp.,21-27,¢J,18-21,¢J
Platycerum spp.,21-27,¢J,18-21,¢J
Saintpaulia spp.,21-27,¢J,18-21,¢J
Sansevieria trifasciata,21-27,¢J,18-21,¢J
Various genera,21-27,¢J,18-21,¢J
Various genera,21-27,¢J,18-21,¢J
prayer plant,21-27,¢J,18-21,¢J
sensitive plant,21-27,¢J,18-21,¢J
swiss cheese plant,21-27,¢J,18-21,¢J
split-leaf philodendron,21-27,¢J,18-21,¢J
screw pine,21-27,¢J,18-21,¢J
geranium,21-27,¢J,18-21,¢J
philodendron,21-27,¢J,18-21,¢J
staghorn fern,21-27,¢J,18-21,¢J
African violets,21-27,¢J,18-21,¢J
snake plant,21-27,¢J,18-21,¢J
cacti and succulents,21-27,¢J,18-21,¢J
palms,21-27,¢J,18-21,¢J
Zinnia,15-30,¢J,,
Sunflower,15-30,¢J,,
Rose,18-25,¢J,,
Cactus,20-30,¢J,,
SessileAlternanthera,15-25,¢J,,
Bachelor'sButton,20-25,¢J,,
Humble-plant,15-20,¢J,,
Wheat,20,¢J,,
Triticum aestiyum,20,¢J,,
Barley,20,¢J,,
Hordeum vulgare,20,¢J,,
Oats,20-24,¢J,,
Arena satina,20-24,¢J,,
Rapeseed,15-20,¢J,,
Brassica napus,15-20,¢J,,
Alfalfa,25,¢J,,
Medicago sativa,25,¢J,,
Birdsfoot Trefoil,26,¢J,,
Lotus corniculatus,26,¢J,,
Red Cloner,25,¢J,,
Trifelium pratense,25,¢J,,
Sweet Clover,18-25,¢J,,
Melilotus offcinalis,18-25,¢J,,
White Clover,18-20,¢J,,
Trifolium repens,18-20,¢J,,
Fescue Grass,13-18,¢J,,
Festuca spp.,13-18,¢J,,
Orchardprass,18-20,¢J,,
Dactylis glomerata,18-20,¢J,,
Timothy,18-22,¢J,,
Phleum pratense,18-22,¢J,,
Basil,21-24,¢J,,
Ocimum basilicum,21-24,¢J,,
Mint,20-24,¢J,,
Mentha spicata,20-24,¢J,,
Parsley,10-30,¢J,,
Petroselinum crispum,10-30,¢J,,
Lovage,21,¢J,,
Levisticum offcinale,21,¢J,,
Summer Savory,20,¢J,,
Satureja hortensis,20,¢J,,
Chives,21,¢J,,
Allum schoenoprasum,21,¢J,,
Fenugreek,21,¢J,,
Trigonella foenum-graec,21,¢J,,
Bean,16-30,¢J,,
Beet,10-30,¢J,,
Cabbage,7-35,¢J,,
Carrct,7-30,¢J,,
Caulifloner,7-30,¢J,,
Celery,15-21,¢J,,
Comn,16-32,¢J,,
Cucumber,16-35,¢J,,
Aubergine,24-32,¢J,,
Lettuce,4-27,¢J,,
Onion,10-35,¢J,,
Parsnip,10-21,¢J,,
Pea,4-24,¢J,,
Pepper,18-35,¢J,,
Pumpkin,21-32,¢J,,
Radish,7-32,¢J,,
Rutabaga,6-30,¢J,,
Spimach,7-24,¢J,,
Squash,21-35,¢J,,
Tomato,10-30,¢J,,
Swiss Chard,20-23,¢J,,
Turnip/ Rutabaga,18-21,¢J,,
